"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Chevrolet | Ford | Honda | Jaguar | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD3855D51"
"ColumnCount:",15
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Jaguar, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Jaguar, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"08/1980",13202,2934,2246,590,2,352,13070,2930,2222,590,2,350,,
"09/1980",11112,2494,2004,458,,278,11004,2482,1990,458,,278,,
"10/1980",10898,2382,2050,286,6,322,10790,2372,2040,286,6,322,,
"11/1980",10608,2362,2050,228,4,310,10534,2358,2046,228,4,308,,
"12/1980",10644,2448,2040,172,,282,10586,2444,2032,172,,280,,
"01/1981",9080,2096,1756,158,4,250,8888,2064,1732,154,4,250,,
"02/1981",8682,1876,1672,208,2,268,8556,1852,1654,206,2,268,,
"03/1981",9312,2076,1786,278,4,316,9174,2064,1766,272,4,314,,
"04/1981",9872,2166,1772,346,2,282,9708,2154,1752,342,2,280,,
"05/1981",10690,2212,1908,382,2,276,10528,2200,1892,378,2,276,,
"06/1981",11108,2244,1860,442,4,320,10904,2222,1840,436,4,318,,
"07/1981",11952,2446,1998,570,6,316,11728,2424,1982,560,6,314,,
"08/1981",12442,2450,2190,592,2,384,12218,2434,2170,588,2,384,,
"09/1981",10852,2156,2006,482,2,318,10660,2144,1984,476,2,316,,
"10/1981",10900,2424,2008,298,,318,10734,2402,1994,294,,318,,
"11/1981",10162,2260,1928,240,2,350,10008,2234,1906,240,2,350,,
"12/1981",10346,2260,1974,200,,354,10222,2256,1956,200,,350,,
"01/1982",7652,1702,1412,156,2,244,7542,1700,1412,156,2,244,,
"02/1982",7282,1580,1254,194,2,252,7202,1580,1254,194,2,252,,
"03/1982",8612,1820,1550,244,6,258,8514,1820,1550,244,6,258,,
"04/1982",9158,1974,1562,294,2,296,9080,1974,1562,294,2,296,,
"05/1982",9886,2024,1612,478,2,310,9776,2020,1612,478,2,310,,
"06/1982",9872,2080,1690,410,,280,9750,2080,1690,410,,280,,
"07/1982",10698,2130,1798,474,6,286,10532,2130,1798,474,6,286,,
"08/1982",10696,2124,1888,498,,306,10554,2122,1886,498,,306,,
"09/1982",10006,2176,1702,390,4,280,9892,2176,1702,390,4,280,,
"10/1982",10364,2234,1868,306,2,288,10242,2234,1868,306,2,288,,
"11/1982",9114,1948,1592,198,4,316,9006,1948,1590,198,4,316,,
"12/1982",9570,2100,1728,218,2,316,9454,2100,1728,218,2,316,,
"01/1983",7440,1546,1436,198,4,264,7346,1546,1434,198,4,264,,
"02/1983",7056,1554,1308,172,,256,6966,1552,1306,172,,256,,
"03/1983",7848,1614,1514,196,2,314,7758,1614,1514,196,2,314,,
