"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Chevrolet | Ford | Honda | Jaguar | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD3855D51"
"ColumnCount:",15
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Jaguar, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Jaguar, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"01/1996",8414,1560,1682,300,2,432,4452,710,738,252,2,254,152,44
"02/1996",8074,1504,1512,274,,398,4400,756,604,222,,250,162,44
"03/1996",8764,1650,1642,322,2,498,4814,804,734,244,2,306,212,68
"04/1996",8952,1638,1716,376,4,464,4986,858,756,272,4,312,370,100
"05/1996",9318,1746,1718,436,2,482,4938,834,744,280,2,302,490,142
"06/1996",10228,1826,1826,470,2,578,5194,868,764,268,2,338,674,172
"07/1996",9590,1790,1814,446,8,510,4998,858,798,260,8,288,514,170
"08/1996",10570,1974,2008,484,2,496,5374,940,848,292,2,318,628,168
"09/1996",9874,1864,1812,474,4,570,5284,940,796,290,4,360,494,160
"10/1996",10606,1970,1950,486,2,558,5732,1030,848,350,2,390,386,124
"11/1996",10102,1970,1870,404,4,536,5590,946,768,348,4,320,144,46
"12/1996",10202,1904,1946,390,4,578,5732,898,890,350,4,366,118,34
"01/1997",8752,1622,1672,276,8,498,4830,848,714,250,8,276,104,26
"02/1997",7720,1404,1546,324,8,454,4186,714,650,262,8,294,164,50
"03/1997",8576,1558,1622,392,2,476,4632,752,688,316,2,310,268,64
"04/1997",8734,1584,1690,354,8,468,4652,804,698,272,8,294,326,74
"05/1997",10174,1794,2018,480,18,564,5328,870,868,298,18,342,484,148
"06/1997",9908,1732,1858,514,2,538,5036,830,776,324,2,344,604,168
"07/1997",10252,1878,2010,542,2,496,5244,874,828,322,2,316,582,194
"08/1997",10578,1956,2038,532,12,538,5394,966,798,334,12,320,574,170
"09/1997",9432,1790,1708,442,8,474,4762,792,728,298,8,284,464,118
"10/1997",10318,1928,1938,436,8,532,5388,962,846,306,8,330,430,112
"11/1997",9600,1798,1914,368,10,524,5132,836,796,314,10,316,182,40
"12/1997",10076,1828,2008,338,4,524,5544,930,904,296,4,296,126,28
"01/1998",8510,1534,1616,288,,454,4514,754,652,260,,280,124,18
"02/1998",7700,1372,1530,316,2,458,4194,664,638,248,2,290,146,54
"03/1998",8508,1504,1666,324,4,406,4478,716,680,244,4,254,216,68
"04/1998",8524,1532,1646,398,16,450,4446,688,706,286,16,292,354,96
"05/1998",9540,1696,1810,450,10,522,4798,792,768,286,10,300,558,152
"06/1998",9544,1640,1892,446,2,454,4680,778,712,280,2,250,508,142
"07/1998",10430,1782,2016,540,,518,5144,824,796,318,,312,714,202
"08/1998",10946,1950,2110,512,2,606,5358,910,818,344,2,328,668,142
"09/1998",9826,1766,1876,540,4,448,4848,828,738,342,4,264,538,164
"10/1998",10144,1794,1944,458,10,472,5192,818,838,330,10,282,430,110
"11/1998",9662,1720,1812,434,,566,5046,720,754,366,,344,242,58
"12/1998",10510,2012,2138,362,6,498,5402,946,836,306,6,314,162,40
"01/1999",7834,1450,1516,336,2,412,4024,644,610,284,2,256,114,34
"02/1999",7424,1282,1474,308,2,426,3828,596,594,254,2,256,180,34
"03/1999",8686,1678,1630,358,6,516,4464,808,666,276,6,336,278,72
"04/1999",8588,1464,1644,394,10,456,4252,700,628,244,10,288,428,118
"05/1999",9988,1732,1892,492,10,482,4928,776,736,318,10,288,562,146
"06/1999",9636,1698,1832,446,6,442,4652,780,722,266,6,268,626,152
"07/1999",10288,1710,2010,498,6,480,4766,748,768,290,6,284,706,180
"08/1999",10722,1828,2136,556,10,496,4992,830,754,338,10,300,700,176
"09/1999",10050,1696,1934,482,2,536,4728,704,716,298,2,342,582,144
"10/1999",10564,1912,2150,502,8,544,5126,816,860,356,8,328,468,120
"11/1999",9876,1810,1918,452,12,522,5052,848,758,364,12,302,270,70
"12/1999",9984,1782,2076,452,4,520,5236,858,866,386,4,298,136,34
"01/2000",4402,791,866,170,3,231,2129,342,312,135,3,137,80,21
"02/2000",3904,688,808,185,1,202,1930,294,319,147,1,108,90,28
"03/2000",4369,748,832,196,2,212,2119,345,316,145,2,136,199,38
"04/2000",4639,802,935,261,1,233,2332,357,354,185,1,156,248,62
"05/2000",4863,795,894,258,2,239,2295,321,321,173,2,152,329,73
"06/2000",5027,804,911,285,3,250,2319,359,328,164,3,149,400,103
"07/2000",5344,911,1008,288,3,277,2522,409,386,168,3,168,401,105
"08/2000",5289,853,1016,285,6,272,2427,370,371,171,6,153,428,95
"09/2000",5137,850,956,241,5,273,2424,369,378,157,5,161,347,71
"10/2000",5178,854,977,266,5,258,2540,376,368,199,5,169,251,52
"11/2000",4625,799,865,214,3,272,2362,364,313,179,3,175,119,17
"12/2000",4817,804,966,219,3,274,2378,341,373,186,3,168,82,20
"01/2001",4117,707,795,186,4,198,2067,306,306,148,4,135,73,25
"02/2001",3956,676,745,186,4,230,1975,292,279,153,4,149,97,27
"03/2001",4311,762,813,187,3,216,2131,322,316,149,3,148,156,30
"04/2001",4526,776,832,225,2,250,2194,353,323,152,2,166,308,58
"05/2001",5028,801,924,284,3,276,2306,316,352,187,3,158,357,82
"06/2001",4873,850,896,294,,256,2246,345,309,164,,158,402,92
"07/2001",5229,878,997,327,5,264,2398,379,367,197,5,167,441,109
"08/2001",5373,888,996,297,5,282,2471,366,361,169,5,191,425,102
"09/2001",4930,782,940,274,1,250,2275,337,353,161,1,158,388,90
"10/2001",5304,857,974,287,2,258,2524,335,353,209,2,164,271,57
"11/2001",5104,905,972,261,2,273,2440,341,388,188,2,166,200,47
"12/2001",5167,930,1007,273,4,304,2561,373,388,209,4,187,142,40
"01/2002",4567,789,880,231,8,242,2256,338,328,185,8,151,102,23
"02/2002",4034,719,766,194,3,242,1974,296,279,153,3,153,127,24
"03/2002",4727,790,919,255,1,251,2284,332,336,195,1,158,184,40
"04/2002",4455,743,844,240,3,222,2142,317,357,170,3,140,259,56
"05/2002",5008,795,923,296,5,268,2317,314,354,181,5,164,374,97
"06/2002",5155,799,949,312,3,264,2291,304,324,177,3,153,451,112
"07/2002",5262,871,986,321,5,275,2369,343,354,187,5,158,431,103
"08/2002",5314,863,954,353,1,288,2310,316,324,201,1,167,482,117
"09/2002",5109,845,949,291,5,265,2330,352,301,174,5,176,431,94
"10/2002",5154,865,955,237,5,270,2406,335,360,159,5,162,249,54
"11/2002",4796,822,887,243,1,310,2313,343,302,177,1,183,178,45
"12/2002",4845,826,918,217,6,293,2383,348,326,174,6,183,93,19
"01/2003",4167,698,815,188,7,249,1947,263,271,151,7,149,85,15
"02/2003",3809,626,748,201,1,220,1778,253,268,155,1,139,98,30
"03/2003",4370,732,823,230,8,250,2042,303,288,161,8,161,216,50
"04/2003",4812,809,920,316,2,228,2194,324,327,205,2,146,376,86
"05/2003",4924,801,903,269,4,259,2250,330,335,160,4,162,373,76
"06/2003",5126,823,905,300,3,274,2253,333,319,179,3,172,460,97
"07/2003",5373,842,943,321,5,290,2276,326,330,183,5,163,509,103
"08/2003",5574,909,1009,364,4,280,2390,327,344,225,4,154,536,106
"09/2003",5070,755,925,302,2,291,2222,281,314,181,2,189,472,94
"10/2003",5482,891,1062,309,7,280,2460,334,372,203,7,182,351,68
"11/2003",5279,830,983,305,12,297,2522,324,327,228,12,188,198,48
"12/2003",4891,809,957,219,6,311,2236,281,306,169,6,183,128,25
"01/2004",4505,722,841,229,7,260,2075,275,312,178,7,158,125,23
"02/2004",4055,644,781,218,1,221,1929,246,278,161,1,134,145,36
"03/2004",4449,752,812,249,1,254,2033,308,271,165,1,169,270,61
"04/2004",4683,710,866,274,4,238,2086,278,274,169,4,152,366,79
"05/2004",5152,819,894,312,4,273,2203,307,314,179,4,155,469,97
"06/2004",5145,793,957,323,3,273,2131,298,295,186,3,166,480,106
"07/2004",5294,819,887,373,2,266,2182,308,280,209,2,146,576,126
"08/2004",5419,787,974,376,7,293,2199,278,313,208,7,166,549,130
"09/2004",4910,784,836,304,9,268,2032,301,265,174,9,152,464,111
"10/2004",5231,826,921,327,6,323,2283,317,281,217,6,177,349,77
"11/2004",4849,799,903,261,7,289,2224,301,297,194,7,164,191,40
"12/2004",5037,827,943,274,4,287,2311,317,329,205,4,177,136,34
"01/2005",4298,711,784,231,7,244,1968,261,271,173,7,148,148,27
"02/2005",4011,651,757,223,3,212,1812,240,245,165,3,134,130,26
"03/2005",4411,680,769,249,1,249,1959,260,260,178,1,149,239,45
"04/2005",4914,758,824,312,6,253,2054,278,263,196,6,141,446,98
"05/2005",5019,752,911,332,4,275,2084,253,293,186,4,160,487,107
"06/2005",5186,819,871,340,4,323,2086,311,252,191,4,186,527,111
"07/2005",5683,885,959,363,6,303,2285,306,295,191,6,181,622,115
"08/2005",5282,789,911,350,5,285,2171,296,310,185,5,175,579,126
"09/2005",5081,706,914,344,6,270,2034,262,273,184,6,170,609,126
"10/2005",5504,888,995,329,4,296,2314,335,323,216,4,176,458,83
"11/2005",5212,839,935,313,10,296,2266,293,299,207,10,164,291,63
"12/2005",4894,787,950,258,3,296,2141,261,278,200,3,175,146,25
"01/2006",4411,703,788,238,7,265,1960,253,255,166,7,164,191,40
"02/2006",4047,672,701,221,1,264,1778,260,215,166,1,155,161,32
"03/2006",4612,730,793,277,4,258,1999,253,256,190,4,146,297,51
"04/2006",4658,693,763,328,6,261,1906,250,242,181,6,166,493,100
"05/2006",5117,716,851,359,4,282,2116,258,282,216,4,178,575,105
"06/2006",5120,747,835,332,6,292,1994,269,252,165,6,162,589,119
"07/2006",5236,790,866,358,5,309,2066,285,275,183,5,179,652,127
"08/2006",5153,724,854,350,5,283,2064,281,253,188,5,163,613,119
"09/2006",4956,727,810,360,4,264,1997,259,259,180,4,155,555,126
"10/2006",5235,803,931,321,3,325,2211,290,302,214,3,195,360,65
"11/2006",4793,756,857,264,8,309,2038,253,283,162,8,179,300,58
"12/2006",4756,752,851,259,4,301,2134,272,280,199,4,179,176,36
"01/2007",4060,663,715,244,4,278,1791,232,232,171,4,167,138,35
"02/2007",3968,639,688,208,5,233,1730,232,230,159,5,137,151,27
"03/2007",4746,724,819,301,4,266,1927,274,248,193,4,165,392,68
"04/2007",4614,619,824,326,3,295,1960,236,259,188,3,195,438,106
"05/2007",4899,722,793,339,7,241,1923,246,279,167,7,150,646,136
"06/2007",4961,729,794,339,9,289,1939,259,252,179,9,169,626,118
"07/2007",5123,730,844,340,4,287,1933,246,249,160,4,171,686,139
"08/2007",5029,709,837,354,7,304,1909,212,267,179,7,169,660,138
"09/2007",4753,712,770,312,3,245,1808,263,234,155,3,161,635,114
"10/2007",4961,749,770,328,6,309,2022,282,233,188,6,201,489,96
"11/2007",4640,706,802,265,7,329,1981,239,255,175,7,181,268,51
"12/2007",4499,760,811,269,6,275,1940,262,260,181,6,156,176,38
"01/2008",3916,622,684,201,6,256,1786,236,232,151,6,159,148,24
"02/2008",3929,597,655,213,3,279,1714,237,222,154,3,172,193,34
"03/2008",3834,616,679,218,1,240,1661,217,237,135,1,139,294,44
"04/2008",4021,559,675,300,5,241,1569,188,189,156,5,151,501,106
"05/2008",4329,607,691,312,7,270,1679,224,232,134,7,157,613,119
"06/2008",4487,655,693,370,6,262,1682,221,212,162,6,159,698,154
"07/2008",4422,621,640,332,5,229,1638,220,206,144,5,129,717,142
"08/2008",4663,624,727,343,4,279,1758,233,215,135,4,166,745,157
"09/2008",4185,564,605,280,3,256,1562,184,186,129,3,146,574,105
"10/2008",4512,641,694,295,6,287,1871,243,224,160,6,179,483,97
"11/2008",4151,680,715,237,10,263,1781,245,200,162,10,174,278,45
"12/2008",4211,701,736,240,6,267,1780,260,213,166,6,173,165,28
"01/2009",3565,577,639,204,3,270,1528,212,201,145,3,156,144,20
"02/2009",3171,496,546,201,,197,1397,176,185,136,,126,209,38
"03/2009",3459,569,554,213,6,244,1418,203,163,134,6,150,273,43
"04/2009",3930,577,607,229,3,278,1558,198,169,115,3,178,465,79
"05/2009",4100,607,651,326,8,238,1616,207,211,165,8,137,582,111
"06/2009",4013,590,627,302,4,265,1541,207,186,155,4,160,551,102
"07/2009",4083,589,655,294,2,263,1470,192,187,159,2,150,592,100
"08/2009",4196,612,630,313,2,242,1617,218,191,162,2,150,581,98
"09/2009",3869,556,610,256,3,245,1538,217,189,130,3,150,511,91
"10/2009",3857,618,665,255,2,252,1615,213,206,157,2,139,308,60
"11/2009",3720,562,625,243,4,272,1593,193,210,145,4,171,283,54
"12/2009",3577,562,622,185,5,263,1523,193,177,124,5,167,103,25
"01/2010",3107,451,544,177,4,218,1371,155,173,124,4,146,125,16
"02/2010",2801,454,450,188,3,203,1211,157,146,136,3,121,110,18
"03/2010",3336,491,532,223,4,210,1434,166,167,140,4,149,265,49
"04/2010",3804,518,601,273,5,274,1542,187,189,127,5,167,468,105
"05/2010",3956,572,559,298,2,265,1540,202,172,151,2,164,551,95
"06/2010",3821,574,613,285,1,237,1390,206,176,135,1,149,587,107
"07/2010",4200,610,616,317,4,264,1525,207,168,139,4,146,619,114
"08/2010",4183,593,621,270,3,271,1522,201,177,131,3,167,629,95
"09/2010",4094,556,673,263,4,257,1529,196,176,124,4,158,526,87
"10/2010",4136,626,624,288,3,260,1655,208,189,177,3,165,442,69
"11/2010",3854,566,652,233,6,274,1578,197,183,147,6,161,214,34
"12/2010",3570,567,617,218,3,253,1511,168,186,151,3,157,115,24
"01/2011",3076,474,517,213,4,222,1345,164,161,159,4,134,153,31
"02/2011",2868,441,467,175,2,215,1167,145,126,116,2,126,182,34
"03/2011",3311,507,527,197,3,253,1341,176,162,117,3,142,267,45
"04/2011",3508,523,547,243,2,228,1433,195,166,133,2,143,408,72
"05/2011",3744,531,567,254,2,237,1415,203,165,132,2,148,533,92
"06/2011",3937,554,569,300,10,236,1446,193,163,137,10,134,603,114
"07/2011",4232,571,636,358,5,272,1591,214,184,165,5,166,652,138
"08/2011",4109,604,580,306,1,262,1469,220,161,132,1,160,640,128
"09/2011",3824,505,607,262,5,244,1458,193,195,144,5,145,507,75
"10/2011",4194,587,632,278,6,280,1694,207,174,148,6,167,444,82
"11/2011",3692,535,568,218,8,305,1588,194,163,136,8,196,235,45
"12/2011",3624,545,589,222,3,286,1564,200,170,152,3,169,144,25
"01/2012",3330,526,555,188,2,255,1454,183,160,131,2,166,174,22
"02/2012",3189,480,529,206,2,230,1390,160,188,140,2,139,161,34
"03/2012",3678,530,516,265,2,247,1461,176,177,143,2,149,439,81
"04/2012",3548,498,524,268,2,214,1435,192,163,157,2,120,451,82
"05/2012",3966,579,607,309,2,242,1479,193,185,141,2,149,579,111
"06/2012",4131,576,570,316,2,258,1500,179,158,137,2,159,664,107
"07/2012",4164,594,656,307,4,265,1548,199,191,149,4,160,603,104
"08/2012",4258,575,617,309,6,296,1578,209,172,161,6,168,623,100
"09/2012",4074,572,586,259,2,285,1563,206,190,126,2,161,575,86
"10/2012",3997,590,598,260,7,291,1608,223,183,151,7,174,395,57
"11/2012",3853,588,608,230,,275,1624,218,154,151,,170,276,40
"12/2012",3772,606,606,243,6,302,1633,225,171,168,6,187,168,27
"01/2013",3416,522,523,217,4,267,1424,173,149,139,4,158,163,35
"02/2013",2845,428,453,183,2,221,1177,135,120,124,2,130,135,24
"03/2013",3552,487,545,223,3,279,1488,186,167,140,3,183,301,44
"04/2013",3464,453,528,258,4,273,1399,172,163,134,4,163,397,72
"05/2013",3817,528,547,298,2,274,1445,192,164,141,2,170,504,104
"06/2013",4009,519,596,297,4,285,1481,187,183,157,4,170,573,85
"07/2013",3933,573,524,291,,241,1453,191,152,123,,137,583,108
"08/2013",4304,558,583,347,3,305,1607,210,160,162,3,187,695,139
"09/2013",4106,533,588,316,2,286,1587,196,175,153,2,185,612,109
"10/2013",4135,617,609,269,6,285,1622,225,165,158,6,180,433,67
"11/2013",3803,571,590,253,5,260,1651,212,179,165,5,179,265,41
"12/2013",3717,593,550,197,2,330,1624,232,169,123,2,203,137,26
"01/2014",3260,459,528,183,1,269,1362,160,143,112,1,170,164,26
"02/2014",2802,432,451,184,3,236,1192,160,129,124,3,145,145,25
"03/2014",3374,463,508,241,7,264,1379,165,142,144,7,169,279,46
"04/2014",3478,478,513,265,2,247,1395,175,158,141,2,141,389,71
"05/2014",3891,533,494,263,6,261,1507,177,175,132,6,166,564,83
"06/2014",3887,532,541,300,4,276,1395,187,151,136,4,177,621,101
"07/2014",4011,560,550,309,4,282,1476,197,158,144,4,168,590,93
"08/2014",4175,599,596,323,7,262,1587,190,203,171,7,160,585,93
"09/2014",3897,537,523,294,6,301,1480,187,155,141,6,195,522,91
"10/2014",4242,551,637,290,6,344,1720,214,189,180,6,202,422,61
"11/2014",4044,583,620,282,,292,1715,203,182,189,,184,243,39
"12/2014",3889,575,624,275,4,338,1688,196,206,173,4,197,181,31
"01/2015",3584,559,560,243,1,291,1557,192,168,163,1,170,167,33
"02/2015",3057,431,481,205,1,249,1280,154,147,127,1,159,152,26
"03/2015",3721,580,568,247,3,257,1537,213,147,146,3,167,320,55
"04/2015",3741,512,526,265,3,264,1489,190,143,149,3,166,430,61
"05/2015",4333,610,619,320,7,299,1689,220,191,168,7,178,575,85
"06/2015",4260,563,591,321,7,327,1639,223,170,164,7,204,585,99
"07/2015",4628,641,598,350,3,346,1714,232,158,161,3,211,666,117
"08/2015",4630,624,639,349,4,342,1728,222,195,170,4,182,647,113
"09/2015",4380,566,651,317,2,290,1715,213,183,165,2,194,560,93
"10/2015",4610,620,644,331,6,375,1849,245,195,176,6,231,493,74
"11/2015",4212,581,634,267,3,378,1775,206,199,162,3,218,269,52
"12/2015",4322,664,639,304,2,357,1846,244,218,186,2,210,266,47
"01/2016",3483,501,516,231,8,285,1521,167,176,149,8,162,160,24
"02/2016",3668,524,532,271,6,294,1587,202,174,180,6,177,243,43
"03/2016",4065,569,557,318,5,345,1709,218,191,186,5,211,346,60
"04/2016",4172,564,591,309,5,321,1649,186,170,157,5,195,472,77
"05/2016",4580,633,606,345,5,340,1750,232,163,178,5,199,634,102
"06/2016",4721,637,652,379,7,358,1809,230,182,202,7,207,617,102
"07/2016",4583,627,614,331,7,340,1711,226,173,181,7,207,653,81
"08/2016",4794,661,656,364,7,368,1812,236,185,186,6,218,635,104
"09/2016",4758,613,648,327,2,366,1773,212,178,159,2,210,630,103
"10/2016",4933,651,696,339,6,407,1978,241,208,189,6,241,537,77
"11/2016",4570,608,668,367,4,365,1927,211,198,226,4,218,344,54
"12/2016",4387,621,656,313,3,391,1853,215,182,190,3,239,193,34
"01/2017",3988,580,564,264,2,355,1734,200,174,176,2,220,195,25
"02/2017",3487,543,454,251,2,276,1467,191,150,166,2,172,271,30
"03/2017",4183,566,611,281,3,324,1791,224,181,168,3,198,328,43
"04/2017",4257,554,582,298,3,349,1718,195,213,158,3,219,517,78
"05/2017",4523,622,590,357,5,373,1764,206,164,195,5,225,537,88
"06/2017",4752,630,667,369,4,367,1804,234,188,186,4,218,643,109
"07/2017",4980,663,683,387,5,338,1819,231,197,198,4,200,724,103
"08/2017",4515,584,624,336,3,357,1744,219,194,152,3,220,586,104
"09/2017",4874,589,625,382,2,410,1875,213,192,193,2,267,652,120
"10/2017",4726,604,677,326,1,394,1809,214,190,180,1,232,438,63
"11/2017",4441,597,680,299,11,428,1883,227,219,183,11,239,283,34
"12/2017",4402,632,675,306,6,371,1873,232,198,177,6,211,211,37
"01/2018",4056,578,599,298,2,370,1749,228,190,188,2,214,202,35
"02/2018",3547,467,479,256,1,317,1446,164,133,164,1,186,217,31
"03/2018",4084,604,607,280,7,337,1675,217,185,162,7,200,287,50
"04/2018",3985,536,568,289,4,340,1644,189,186,182,4,215,387,50
"05/2018",4598,567,608,332,5,370,1746,216,170,182,5,217,583,79
"06/2018",4648,581,612,345,9,372,1669,197,179,158,8,213,687,96
"07/2018",4610,615,626,328,2,356,1688,211,190,164,1,218,637,80
"08/2018",4648,580,612,353,1,328,1693,206,169,174,1,196,659,101
"09/2018",4600,635,632,342,4,363,1778,242,195,181,4,204,572,77
"10/2018",4825,652,725,313,4,394,1846,227,218,181,4,222,450,57
"11/2018",4164,574,595,278,3,402,1692,203,187,176,2,237,240,44
"12/2018",4107,566,571,291,5,355,1717,211,171,173,4,196,193,32
"01/2019",3875,550,558,259,6,347,1596,179,153,163,6,203,147,20
"02/2019",3344,450,488,250,4,287,1391,166,158,137,4,174,179,37
"03/2019",3959,549,541,292,1,329,1623,211,170,169,1,186,340,45
"04/2019",4072,549,512,279,4,334,1538,187,154,149,4,185,421,54
"05/2019",4487,581,601,331,11,380,1649,197,166,156,10,230,593,91
"06/2019",4535,611,567,327,3,387,1622,209,156,154,3,210,652,98
"07/2019",4592,562,619,335,3,389,1628,182,182,148,2,231,666,114
"08/2019",4699,625,590,377,6,372,1700,216,145,172,5,220,677,120
"09/2019",4674,603,631,350,5,330,1645,206,163,177,4,181,619,86
"10/2019",4560,597,662,351,4,415,1767,194,195,204,3,243,397,61
"11/2019",4339,611,620,299,2,395,1731,198,190,167,2,219,247,38
"12/2019",4111,594,591,255,3,367,1696,169,171,155,3,216,176,31
"01/2020",3760,528,541,239,5,364,1539,183,165,147,4,217,165,22
"02/2020",3747,502,515,295,6,339,1596,177,165,193,6,196,212,35
"03/2020",3548,477,463,283,4,295,1441,185,131,151,4,187,326,49
"04/2020",3077,407,383,253,2,245,1198,127,122,146,1,143,365,55
"05/2020",4267,564,562,340,4,325,1588,188,154,172,3,198,551,89
"06/2020",5186,676,665,392,7,354,1878,214,220,213,6,203,707,94
"07/2020",5251,653,636,423,4,398,1964,238,200,206,4,226,740,116
"08/2020",5426,655,690,434,8,428,1991,215,223,205,7,243,775,120
"09/2020",5230,657,673,415,5,352,1921,225,196,212,5,216,703,113
"10/2020",5480,702,711,433,7,455,2037,242,208,219,7,246,573,92
"11/2020",4784,639,634,379,7,408,1903,226,175,225,5,231,385,51
"12/2020",4516,626,584,306,8,397,1826,207,167,173,7,220,213,35



"Publisher:", "National Highway Traffic Safety Administration"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
